seed,model_name,experiment_id,true_label,predicted_label,count
1,MultinomialNB,manual_only,ham,ham,966
1,MultinomialNB,manual_only,ham,spam,1
1,MultinomialNB,manual_only,ham,smishing,0
1,MultinomialNB,manual_only,spam,ham,20
1,MultinomialNB,manual_only,spam,spam,49
1,MultinomialNB,manual_only,spam,smishing,28
1,MultinomialNB,manual_only,smishing,ham,2
1,MultinomialNB,manual_only,smishing,spam,7
1,MultinomialNB,manual_only,smishing,smishing,117
1,MultinomialNB,synthetic_only,ham,ham,961
1,MultinomialNB,synthetic_only,ham,spam,1
1,MultinomialNB,synthetic_only,ham,smishing,5
1,MultinomialNB,synthetic_only,spam,ham,5
1,MultinomialNB,synthetic_only,spam,spam,72
1,MultinomialNB,synthetic_only,spam,smishing,20
1,MultinomialNB,synthetic_only,smishing,ham,0
1,MultinomialNB,synthetic_only,smishing,spam,4
1,MultinomialNB,synthetic_only,smishing,smishing,122
1,MultinomialNB,combined,ham,ham,966
1,MultinomialNB,combined,ham,spam,1
1,MultinomialNB,combined,ham,smishing,0
1,MultinomialNB,combined,spam,ham,0
1,MultinomialNB,combined,spam,spam,83
1,MultinomialNB,combined,spam,smishing,14
1,MultinomialNB,combined,smishing,ham,0
1,MultinomialNB,combined,smishing,spam,4
1,MultinomialNB,combined,smishing,smishing,122
1,LogisticRegression,manual_only,ham,ham,964
1,LogisticRegression,manual_only,ham,spam,2
1,LogisticRegression,manual_only,ham,smishing,1
1,LogisticRegression,manual_only,spam,ham,10
1,LogisticRegression,manual_only,spam,spam,71
1,LogisticRegression,manual_only,spam,smishing,16
1,LogisticRegression,manual_only,smishing,ham,3
1,LogisticRegression,manual_only,smishing,spam,12
1,LogisticRegression,manual_only,smishing,smishing,111
1,LogisticRegression,synthetic_only,ham,ham,962
1,LogisticRegression,synthetic_only,ham,spam,2
1,LogisticRegression,synthetic_only,ham,smishing,3
1,LogisticRegression,synthetic_only,spam,ham,2
1,LogisticRegression,synthetic_only,spam,spam,74
1,LogisticRegression,synthetic_only,spam,smishing,21
1,LogisticRegression,synthetic_only,smishing,ham,2
1,LogisticRegression,synthetic_only,smishing,spam,4
1,LogisticRegression,synthetic_only,smishing,smishing,120
1,LogisticRegression,combined,ham,ham,964
1,LogisticRegression,combined,ham,spam,2
1,LogisticRegression,combined,ham,smishing,1
1,LogisticRegression,combined,spam,ham,0
1,LogisticRegression,combined,spam,spam,85
1,LogisticRegression,combined,spam,smishing,12
1,LogisticRegression,combined,smishing,ham,1
1,LogisticRegression,combined,smishing,spam,3
1,LogisticRegression,combined,smishing,smishing,122
1,LinearSVC,manual_only,ham,ham,964
1,LinearSVC,manual_only,ham,spam,2
1,LinearSVC,manual_only,ham,smishing,1
1,LinearSVC,manual_only,spam,ham,12
1,LinearSVC,manual_only,spam,spam,68
1,LinearSVC,manual_only,spam,smishing,17
1,LinearSVC,manual_only,smishing,ham,2
1,LinearSVC,manual_only,smishing,spam,9
1,LinearSVC,manual_only,smishing,smishing,115
1,LinearSVC,synthetic_only,ham,ham,964
1,LinearSVC,synthetic_only,ham,spam,0
1,LinearSVC,synthetic_only,ham,smishing,3
1,LinearSVC,synthetic_only,spam,ham,1
1,LinearSVC,synthetic_only,spam,spam,80
1,LinearSVC,synthetic_only,spam,smishing,16
1,LinearSVC,synthetic_only,smishing,ham,0
1,LinearSVC,synthetic_only,smishing,spam,3
1,LinearSVC,synthetic_only,smishing,smishing,123
1,LinearSVC,combined,ham,ham,967
1,LinearSVC,combined,ham,spam,0
1,LinearSVC,combined,ham,smishing,0
1,LinearSVC,combined,spam,ham,0
1,LinearSVC,combined,spam,spam,90
1,LinearSVC,combined,spam,smishing,7
1,LinearSVC,combined,smishing,ham,0
1,LinearSVC,combined,smishing,spam,5
1,LinearSVC,combined,smishing,smishing,121
2,MultinomialNB,manual_only,ham,ham,967
2,MultinomialNB,manual_only,ham,spam,0
2,MultinomialNB,manual_only,ham,smishing,0
2,MultinomialNB,manual_only,spam,ham,27
2,MultinomialNB,manual_only,spam,spam,53
2,MultinomialNB,manual_only,spam,smishing,17
2,MultinomialNB,manual_only,smishing,ham,2
2,MultinomialNB,manual_only,smishing,spam,14
2,MultinomialNB,manual_only,smishing,smishing,110
2,MultinomialNB,synthetic_only,ham,ham,965
2,MultinomialNB,synthetic_only,ham,spam,0
2,MultinomialNB,synthetic_only,ham,smishing,2
2,MultinomialNB,synthetic_only,spam,ham,8
2,MultinomialNB,synthetic_only,spam,spam,73
2,MultinomialNB,synthetic_only,spam,smishing,16
2,MultinomialNB,synthetic_only,smishing,ham,0
2,MultinomialNB,synthetic_only,smishing,spam,8
2,MultinomialNB,synthetic_only,smishing,smishing,118
2,MultinomialNB,combined,ham,ham,967
2,MultinomialNB,combined,ham,spam,0
2,MultinomialNB,combined,ham,smishing,0
2,MultinomialNB,combined,spam,ham,7
2,MultinomialNB,combined,spam,spam,75
2,MultinomialNB,combined,spam,smishing,15
2,MultinomialNB,combined,smishing,ham,0
2,MultinomialNB,combined,smishing,spam,7
2,MultinomialNB,combined,smishing,smishing,119
2,LogisticRegression,manual_only,ham,ham,967
2,LogisticRegression,manual_only,ham,spam,0
2,LogisticRegression,manual_only,ham,smishing,0
2,LogisticRegression,manual_only,spam,ham,22
2,LogisticRegression,manual_only,spam,spam,67
2,LogisticRegression,manual_only,spam,smishing,8
2,LogisticRegression,manual_only,smishing,ham,1
2,LogisticRegression,manual_only,smishing,spam,16
2,LogisticRegression,manual_only,smishing,smishing,109
2,LogisticRegression,synthetic_only,ham,ham,967
2,LogisticRegression,synthetic_only,ham,spam,0
2,LogisticRegression,synthetic_only,ham,smishing,0
2,LogisticRegression,synthetic_only,spam,ham,7
2,LogisticRegression,synthetic_only,spam,spam,77
2,LogisticRegression,synthetic_only,spam,smishing,13
2,LogisticRegression,synthetic_only,smishing,ham,1
2,LogisticRegression,synthetic_only,smishing,spam,9
2,LogisticRegression,synthetic_only,smishing,smishing,116
2,LogisticRegression,combined,ham,ham,966
2,LogisticRegression,combined,ham,spam,0
2,LogisticRegression,combined,ham,smishing,1
2,LogisticRegression,combined,spam,ham,6
2,LogisticRegression,combined,spam,spam,83
2,LogisticRegression,combined,spam,smishing,8
2,LogisticRegression,combined,smishing,ham,1
2,LogisticRegression,combined,smishing,spam,9
2,LogisticRegression,combined,smishing,smishing,116
2,LinearSVC,manual_only,ham,ham,967
2,LinearSVC,manual_only,ham,spam,0
2,LinearSVC,manual_only,ham,smishing,0
2,LinearSVC,manual_only,spam,ham,24
2,LinearSVC,manual_only,spam,spam,63
2,LinearSVC,manual_only,spam,smishing,10
2,LinearSVC,manual_only,smishing,ham,1
2,LinearSVC,manual_only,smishing,spam,14
2,LinearSVC,manual_only,smishing,smishing,111
2,LinearSVC,synthetic_only,ham,ham,967
2,LinearSVC,synthetic_only,ham,spam,0
2,LinearSVC,synthetic_only,ham,smishing,0
2,LinearSVC,synthetic_only,spam,ham,5
2,LinearSVC,synthetic_only,spam,spam,84
2,LinearSVC,synthetic_only,spam,smishing,8
2,LinearSVC,synthetic_only,smishing,ham,0
2,LinearSVC,synthetic_only,smishing,spam,7
2,LinearSVC,synthetic_only,smishing,smishing,119
2,LinearSVC,combined,ham,ham,967
2,LinearSVC,combined,ham,spam,0
2,LinearSVC,combined,ham,smishing,0
2,LinearSVC,combined,spam,ham,5
2,LinearSVC,combined,spam,spam,85
2,LinearSVC,combined,spam,smishing,7
2,LinearSVC,combined,smishing,ham,0
2,LinearSVC,combined,smishing,spam,6
2,LinearSVC,combined,smishing,smishing,120
3,MultinomialNB,manual_only,ham,ham,967
3,MultinomialNB,manual_only,ham,spam,0
3,MultinomialNB,manual_only,ham,smishing,0
3,MultinomialNB,manual_only,spam,ham,23
3,MultinomialNB,manual_only,spam,spam,44
3,MultinomialNB,manual_only,spam,smishing,30
3,MultinomialNB,manual_only,smishing,ham,5
3,MultinomialNB,manual_only,smishing,spam,1
3,MultinomialNB,manual_only,smishing,smishing,120
3,MultinomialNB,synthetic_only,ham,ham,964
3,MultinomialNB,synthetic_only,ham,spam,0
3,MultinomialNB,synthetic_only,ham,smishing,3
3,MultinomialNB,synthetic_only,spam,ham,6
3,MultinomialNB,synthetic_only,spam,spam,76
3,MultinomialNB,synthetic_only,spam,smishing,15
3,MultinomialNB,synthetic_only,smishing,ham,0
3,MultinomialNB,synthetic_only,smishing,spam,3
3,MultinomialNB,synthetic_only,smishing,smishing,123
3,MultinomialNB,combined,ham,ham,965
3,MultinomialNB,combined,ham,spam,0
3,MultinomialNB,combined,ham,smishing,2
3,MultinomialNB,combined,spam,ham,5
3,MultinomialNB,combined,spam,spam,80
3,MultinomialNB,combined,spam,smishing,12
3,MultinomialNB,combined,smishing,ham,0
3,MultinomialNB,combined,smishing,spam,2
3,MultinomialNB,combined,smishing,smishing,124
3,LogisticRegression,manual_only,ham,ham,966
3,LogisticRegression,manual_only,ham,spam,0
3,LogisticRegression,manual_only,ham,smishing,1
3,LogisticRegression,manual_only,spam,ham,16
3,LogisticRegression,manual_only,spam,spam,68
3,LogisticRegression,manual_only,spam,smishing,13
3,LogisticRegression,manual_only,smishing,ham,2
3,LogisticRegression,manual_only,smishing,spam,12
3,LogisticRegression,manual_only,smishing,smishing,112
3,LogisticRegression,synthetic_only,ham,ham,965
3,LogisticRegression,synthetic_only,ham,spam,1
3,LogisticRegression,synthetic_only,ham,smishing,1
3,LogisticRegression,synthetic_only,spam,ham,4
3,LogisticRegression,synthetic_only,spam,spam,78
3,LogisticRegression,synthetic_only,spam,smishing,15
3,LogisticRegression,synthetic_only,smishing,ham,1
3,LogisticRegression,synthetic_only,smishing,spam,3
3,LogisticRegression,synthetic_only,smishing,smishing,122
3,LogisticRegression,combined,ham,ham,966
3,LogisticRegression,combined,ham,spam,0
3,LogisticRegression,combined,ham,smishing,1
3,LogisticRegression,combined,spam,ham,3
3,LogisticRegression,combined,spam,spam,87
3,LogisticRegression,combined,spam,smishing,7
3,LogisticRegression,combined,smishing,ham,1
3,LogisticRegression,combined,smishing,spam,4
3,LogisticRegression,combined,smishing,smishing,121
3,LinearSVC,manual_only,ham,ham,966
3,LinearSVC,manual_only,ham,spam,0
3,LinearSVC,manual_only,ham,smishing,1
3,LinearSVC,manual_only,spam,ham,15
3,LinearSVC,manual_only,spam,spam,68
3,LinearSVC,manual_only,spam,smishing,14
3,LinearSVC,manual_only,smishing,ham,1
3,LinearSVC,manual_only,smishing,spam,13
3,LinearSVC,manual_only,smishing,smishing,112
3,LinearSVC,synthetic_only,ham,ham,966
3,LinearSVC,synthetic_only,ham,spam,0
3,LinearSVC,synthetic_only,ham,smishing,1
3,LinearSVC,synthetic_only,spam,ham,3
3,LinearSVC,synthetic_only,spam,spam,84
3,LinearSVC,synthetic_only,spam,smishing,10
3,LinearSVC,synthetic_only,smishing,ham,0
3,LinearSVC,synthetic_only,smishing,spam,0
3,LinearSVC,synthetic_only,smishing,smishing,126
3,LinearSVC,combined,ham,ham,966
3,LinearSVC,combined,ham,spam,0
3,LinearSVC,combined,ham,smishing,1
3,LinearSVC,combined,spam,ham,3
3,LinearSVC,combined,spam,spam,88
3,LinearSVC,combined,spam,smishing,6
3,LinearSVC,combined,smishing,ham,0
3,LinearSVC,combined,smishing,spam,5
3,LinearSVC,combined,smishing,smishing,121
4,MultinomialNB,manual_only,ham,ham,967
4,MultinomialNB,manual_only,ham,spam,0
4,MultinomialNB,manual_only,ham,smishing,0
4,MultinomialNB,manual_only,spam,ham,18
4,MultinomialNB,manual_only,spam,spam,59
4,MultinomialNB,manual_only,spam,smishing,20
4,MultinomialNB,manual_only,smishing,ham,1
4,MultinomialNB,manual_only,smishing,spam,9
4,MultinomialNB,manual_only,smishing,smishing,116
4,MultinomialNB,synthetic_only,ham,ham,961
4,MultinomialNB,synthetic_only,ham,spam,0
4,MultinomialNB,synthetic_only,ham,smishing,6
4,MultinomialNB,synthetic_only,spam,ham,4
4,MultinomialNB,synthetic_only,spam,spam,79
4,MultinomialNB,synthetic_only,spam,smishing,14
4,MultinomialNB,synthetic_only,smishing,ham,0
4,MultinomialNB,synthetic_only,smishing,spam,12
4,MultinomialNB,synthetic_only,smishing,smishing,114
4,MultinomialNB,combined,ham,ham,963
4,MultinomialNB,combined,ham,spam,0
4,MultinomialNB,combined,ham,smishing,4
4,MultinomialNB,combined,spam,ham,4
4,MultinomialNB,combined,spam,spam,87
4,MultinomialNB,combined,spam,smishing,6
4,MultinomialNB,combined,smishing,ham,0
4,MultinomialNB,combined,smishing,spam,8
4,MultinomialNB,combined,smishing,smishing,118
4,LogisticRegression,manual_only,ham,ham,964
4,LogisticRegression,manual_only,ham,spam,2
4,LogisticRegression,manual_only,ham,smishing,1
4,LogisticRegression,manual_only,spam,ham,13
4,LogisticRegression,manual_only,spam,spam,74
4,LogisticRegression,manual_only,spam,smishing,10
4,LogisticRegression,manual_only,smishing,ham,2
4,LogisticRegression,manual_only,smishing,spam,14
4,LogisticRegression,manual_only,smishing,smishing,110
4,LogisticRegression,synthetic_only,ham,ham,962
4,LogisticRegression,synthetic_only,ham,spam,3
4,LogisticRegression,synthetic_only,ham,smishing,2
4,LogisticRegression,synthetic_only,spam,ham,3
4,LogisticRegression,synthetic_only,spam,spam,80
4,LogisticRegression,synthetic_only,spam,smishing,14
4,LogisticRegression,synthetic_only,smishing,ham,0
4,LogisticRegression,synthetic_only,smishing,spam,8
4,LogisticRegression,synthetic_only,smishing,smishing,118
4,LogisticRegression,combined,ham,ham,962
4,LogisticRegression,combined,ham,spam,3
4,LogisticRegression,combined,ham,smishing,2
4,LogisticRegression,combined,spam,ham,4
4,LogisticRegression,combined,spam,spam,88
4,LogisticRegression,combined,spam,smishing,5
4,LogisticRegression,combined,smishing,ham,0
4,LogisticRegression,combined,smishing,spam,8
4,LogisticRegression,combined,smishing,smishing,118
4,LinearSVC,manual_only,ham,ham,964
4,LinearSVC,manual_only,ham,spam,1
4,LinearSVC,manual_only,ham,smishing,2
4,LinearSVC,manual_only,spam,ham,13
4,LinearSVC,manual_only,spam,spam,74
4,LinearSVC,manual_only,spam,smishing,10
4,LinearSVC,manual_only,smishing,ham,0
4,LinearSVC,manual_only,smishing,spam,14
4,LinearSVC,manual_only,smishing,smishing,112
4,LinearSVC,synthetic_only,ham,ham,965
4,LinearSVC,synthetic_only,ham,spam,1
4,LinearSVC,synthetic_only,ham,smishing,1
4,LinearSVC,synthetic_only,spam,ham,3
4,LinearSVC,synthetic_only,spam,spam,86
4,LinearSVC,synthetic_only,spam,smishing,8
4,LinearSVC,synthetic_only,smishing,ham,0
4,LinearSVC,synthetic_only,smishing,spam,6
4,LinearSVC,synthetic_only,smishing,smishing,120
4,LinearSVC,combined,ham,ham,965
4,LinearSVC,combined,ham,spam,1
4,LinearSVC,combined,ham,smishing,1
4,LinearSVC,combined,spam,ham,3
4,LinearSVC,combined,spam,spam,90
4,LinearSVC,combined,spam,smishing,4
4,LinearSVC,combined,smishing,ham,0
4,LinearSVC,combined,smishing,spam,9
4,LinearSVC,combined,smishing,smishing,117
5,MultinomialNB,manual_only,ham,ham,966
5,MultinomialNB,manual_only,ham,spam,0
5,MultinomialNB,manual_only,ham,smishing,1
5,MultinomialNB,manual_only,spam,ham,27
5,MultinomialNB,manual_only,spam,spam,42
5,MultinomialNB,manual_only,spam,smishing,28
5,MultinomialNB,manual_only,smishing,ham,3
5,MultinomialNB,manual_only,smishing,spam,10
5,MultinomialNB,manual_only,smishing,smishing,113
5,MultinomialNB,synthetic_only,ham,ham,961
5,MultinomialNB,synthetic_only,ham,spam,1
5,MultinomialNB,synthetic_only,ham,smishing,5
5,MultinomialNB,synthetic_only,spam,ham,3
5,MultinomialNB,synthetic_only,spam,spam,71
5,MultinomialNB,synthetic_only,spam,smishing,23
5,MultinomialNB,synthetic_only,smishing,ham,1
5,MultinomialNB,synthetic_only,smishing,spam,7
5,MultinomialNB,synthetic_only,smishing,smishing,118
5,MultinomialNB,combined,ham,ham,963
5,MultinomialNB,combined,ham,spam,0
5,MultinomialNB,combined,ham,smishing,4
5,MultinomialNB,combined,spam,ham,4
5,MultinomialNB,combined,spam,spam,71
5,MultinomialNB,combined,spam,smishing,22
5,MultinomialNB,combined,smishing,ham,1
5,MultinomialNB,combined,smishing,spam,9
5,MultinomialNB,combined,smishing,smishing,116
5,LogisticRegression,manual_only,ham,ham,966
5,LogisticRegression,manual_only,ham,spam,1
5,LogisticRegression,manual_only,ham,smishing,0
5,LogisticRegression,manual_only,spam,ham,10
5,LogisticRegression,manual_only,spam,spam,70
5,LogisticRegression,manual_only,spam,smishing,17
5,LogisticRegression,manual_only,smishing,ham,5
5,LogisticRegression,manual_only,smishing,spam,20
5,LogisticRegression,manual_only,smishing,smishing,101
5,LogisticRegression,synthetic_only,ham,ham,966
5,LogisticRegression,synthetic_only,ham,spam,1
5,LogisticRegression,synthetic_only,ham,smishing,0
5,LogisticRegression,synthetic_only,spam,ham,3
5,LogisticRegression,synthetic_only,spam,spam,73
5,LogisticRegression,synthetic_only,spam,smishing,21
5,LogisticRegression,synthetic_only,smishing,ham,3
5,LogisticRegression,synthetic_only,smishing,spam,7
5,LogisticRegression,synthetic_only,smishing,smishing,116
5,LogisticRegression,combined,ham,ham,964
5,LogisticRegression,combined,ham,spam,2
5,LogisticRegression,combined,ham,smishing,1
5,LogisticRegression,combined,spam,ham,3
5,LogisticRegression,combined,spam,spam,84
5,LogisticRegression,combined,spam,smishing,10
5,LogisticRegression,combined,smishing,ham,3
5,LogisticRegression,combined,smishing,spam,13
5,LogisticRegression,combined,smishing,smishing,110
5,LinearSVC,manual_only,ham,ham,967
5,LinearSVC,manual_only,ham,spam,0
5,LinearSVC,manual_only,ham,smishing,0
5,LinearSVC,manual_only,spam,ham,11
5,LinearSVC,manual_only,spam,spam,65
5,LinearSVC,manual_only,spam,smishing,21
5,LinearSVC,manual_only,smishing,ham,6
5,LinearSVC,manual_only,smishing,spam,20
5,LinearSVC,manual_only,smishing,smishing,100
5,LinearSVC,synthetic_only,ham,ham,965
5,LinearSVC,synthetic_only,ham,spam,1
5,LinearSVC,synthetic_only,ham,smishing,1
5,LinearSVC,synthetic_only,spam,ham,3
5,LinearSVC,synthetic_only,spam,spam,79
